recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
112436612,"{'steamid': '76561198076655081', 'num_games_owned': 20, 'num_reviews': 1, 'playtime_forever': 4568, 'playtime_last_two_weeks': 2259, 'playtime_at_review': 4326, 'last_played': 1647658418}",koreana,죽어도 끊임없이 되살아나 결국 적의 소울을 얻는다면 나의 승리,1647642882,1647642882,True,0,0,0,0,True,False,False
112434555,"{'steamid': '76561198305705004', 'num_games_owned': 61, 'num_reviews': 9, 'playtime_forever': 5675, 'playtime_last_two_weeks': 4769, 'playtime_at_review': 5675, 'last_played': 1647637038}",koreana,시간 플레이 타임 회차 완료 했습니다 저한테는 최고의 인생게임이네요 단언컨대 갓오브워 라오어 젤다의전설 같은 명작들보다 더 재밌게 했습니다 그리고 앞으로도 회차 회차 더 계속 할거구요,1647640154,1647640154,True,0,0,0,0,True,False,False
112433339,"{'steamid': '76561198031235788', 'num_games_owned': 1967, 'num_reviews': 35, 'playtime_forever': 2917, 'playtime_last_two_weeks': 2149, 'playtime_at_review': 2826, 'last_played': 1647659530}",koreana,굳굳굳 소울 시리즈 그동안 너무 어려워서 못했는데 엘든링은 어려워도 할만하네요 유투브 보면서 레벨올리고 하면 할만함 오픈월드를 탐험하는 재미가 쏠쏠 하나 아쉬운 점은 퀘스트 보여주는 화면이 없어 아쉽네요 누굴 찾아라 어딜 찾아가라 이런거는 좀 있었으면 그래도 최고의 게임 중 하나가 아닐까 패치되고 밤불검 너프되서 아쉽지만 맵에 표시되는건 좋네요,1647638573,1647638573,True,0,0,0,0,True,False,False
112432473,"{'steamid': '76561198326370770', 'num_games_owned': 47, 'num_reviews': 2, 'playtime_forever': 2596, 'playtime_last_two_weeks': 2596, 'playtime_at_review': 2507, 'last_played': 1647642942}",koreana,와씨 시간삭제 시간해도 할게남아있음 응애 나뉴비,1647637517,1647637517,True,0,0,0,0,True,False,False
112429617,"{'steamid': '76561198173308683', 'num_games_owned': 231, 'num_reviews': 74, 'playtime_forever': 12000, 'playtime_last_two_weeks': 5898, 'playtime_at_review': 11888, 'last_played': 1647643736}",koreana,다크소울 보다 오픈월드 휠씬 재미있습니다 갓겜 넓은맵에서 같은 보스 너무 많이 나와 아쉽다 다른보스 바꾸면,1647634046,1647634046,True,0,0,0,0,True,False,False
112428806,"{'steamid': '76561198028139729', 'num_games_owned': 166, 'num_reviews': 22, 'playtime_forever': 6479, 'playtime_last_two_weeks': 3105, 'playtime_at_review': 6376, 'last_played': 1647639344}",koreana,친구와 하면 더 재미남,1647633125,1647633125,True,0,0,0,0,True,False,False
112427372,"{'steamid': '76561198260066158', 'num_games_owned': 62, 'num_reviews': 19, 'playtime_forever': 5398, 'playtime_last_two_weeks': 4728, 'playtime_at_review': 5259, 'last_played': 1647641706}",koreana,에서 분동안 번을 쳐튕기는 개병 신쓰레기좃 망겜,1647631429,1647631429,False,0,0,0,0,True,False,False
112425861,"{'steamid': '76561198986316353', 'num_games_owned': 15, 'num_reviews': 2, 'playtime_forever': 2217, 'playtime_last_two_weeks': 2217, 'playtime_at_review': 2217, 'last_played': 1647629583}",koreana,갓 겜,1647629606,1647629606,True,0,0,0,0,True,False,False
112425529,"{'steamid': '76561198120406709', 'num_games_owned': 76, 'num_reviews': 19, 'playtime_forever': 4434, 'playtime_last_two_weeks': 2772, 'playtime_at_review': 4412, 'last_played': 1647630668}",koreana,재미따,1647629242,1647629242,True,0,0,0,0,True,False,False
112425124,"{'steamid': '76561199238347514', 'num_games_owned': 3, 'num_reviews': 1, 'playtime_forever': 308, 'playtime_last_two_weeks': 308, 'playtime_at_review': 281, 'last_played': 1647628775}",koreana,역시 소울,1647628754,1647628754,True,0,0,0,0,True,False,False
112424165,"{'steamid': '76561197989955445', 'num_games_owned': 37, 'num_reviews': 4, 'playtime_forever': 4693, 'playtime_last_two_weeks': 2256, 'playtime_at_review': 4693, 'last_played': 1647451450}",koreana,친구들끼리 같은 지역을 돌아도 다 다른 걸 찾는 게임 거기에 그게 있었다고,1647627576,1647627576,True,0,0,0,0,True,False,False
112424024,"{'steamid': '76561199153276664', 'num_games_owned': 7, 'num_reviews': 2, 'playtime_forever': 3832, 'playtime_last_two_weeks': 3833, 'playtime_at_review': 3681, 'last_played': 1647658378}",koreana,게임 굉장히 재밋긴 한데 난이도는 재밋지 않음 하지만 갈고리 손가락이 괜히 있는게 아니죠 친구들 끼리 사인저장소 에서 사인 남겨가지고 서로 도와주면서 보스 클리어해가면 나름 그나마 할만해짐 만약 같이할 친구가 없으시다면 화이팅,1647627410,1647627410,True,0,0,0,0,True,False,False
112424009,"{'steamid': '76561198111687307', 'num_games_owned': 63, 'num_reviews': 1, 'playtime_forever': 6096, 'playtime_last_two_weeks': 3077, 'playtime_at_review': 6096, 'last_played': 1647610950}",koreana,이 앞 엉덩이 있다,1647627387,1647627387,True,0,0,0,0,True,False,False
